Problem,Dim,Time,Alg1,Alg2,Winner,F1,F2
griewank,10,3.0,probabilistic_descent,random_search,0,1.2212453270876722e-15,11.753648828259106
rastrigin,213,43.6,random_search,adaptive_de_rand_1_bin_radiuslimited,1,3108.833787522592,212.92104668995808
ackley,35,8.0,de_rand_2_bin,random_search,0,7.105427357601002e-15,19.11396572690371
rastrigin,60,13.0,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,4.974795285466257,317.39034586084665
griewank,7,2.4,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,1,0.0,0.0
griewank,162,33.4,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,1,0.0,0.0
ackley,91,19.2,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,5.787480642765772,3.552713678800501e-15
rosenbrock,29,6.8,random_search,de_rand_2_bin,1,4.077742899308922e7,5.5324324504071226e-12
ackley,41,9.2,generating_set_search,random_search,0,1.0898304481088417e-10,19.433380865209624
griewank,239,48.8,generating_set_search,de_rand_2_bin,0,2.220446049250313e-16,1065.6085246813711
ackley,7,2.4,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,0.0,1.5709389344920055e-10
rosenbrock,85,18.0,generating_set_search,probabilistic_descent,0,1.5598482818768447e-15,1.017890316463796e-10
rastrigin,109,22.8,random_search,generating_set_search,1,1484.3412992801836,3.183231456205249e-12
griewank,269,54.8,probabilistic_descent,adaptive_de_rand_1_bin_radiuslimited,0,1.4410694859634532e-12,0.10806964876986236
rastrigin,87,18.4,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,0,9.094947017729282e-13,30.84373076989118
rastrigin,245,50.0,generating_set_search,de_rand_2_bin,0,1.546140993013978e-11,3067.706834898577
griewank,6,2.2,generating_set_search,random_search,0,0.0,1.459715616469551
rastrigin,64,13.8,random_search,de_rand_2_bin,1,771.8218581576429,556.6387447341108
rosenbrock,120,25.0,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,1.2579701543140829e7,3.986623854300945
rastrigin,11,3.2,random_search,generating_set_search,1,46.36865894366153,0.0
rastrigin,288,58.6,probabilistic_descent,adaptive_de_rand_1_bin_radiuslimited,1,2084.4271310419927,376.09389784432324
rosenbrock,256,52.2,random_search,adaptive_de_rand_1_bin_radiuslimited,1,2.476591420414678e9,3.9866246235069323
ackley,148,30.6,adaptive_de_rand_1_bin_radiuslimited,random_search,0,0.8856035874500283,20.615746475921295
deceptive_cuccu2011_15_2,195,40.0,probabilistic_descent,de_rand_2_bin,0,2.110482093171041e-17,14100.600921655008
ackley,275,56.0,random_search,probabilistic_descent,1,20.816749175302654,19.28255174782873
